,Acute Phase (Initial Hit),Chronic Phase (Tolerance)
0.0,1010,1005
0.5,778.6205265937358,773.6205265937358
1.1,600.7775139012317,595.7775139012317
1.6,464.0837238345027,459.0837238345027
2.1,359.01807093132,354.01807093132
2.6,278.262453469961,273.262453469961
3.2,216.1920282514089,211.1920282514089
3.7,168.48342533402837,163.48342533402837
4.2,131.8136138366199,126.81361383661991
4.7,103.62844401338879,98.62844401338879
5.3,81.96474394172299,76.96474394172299
5.8,65.31357938467048,60.31357938467048
6.3,52.51515251442982,47.51515251442982
6.8,42.67801891385404,37.67801891385404
7.4,35.116996105606546,30.11699610560655
7.9,29.305438773144115,24.305438773144115
8.4,24.838556515937157,19.838556515937157
8.9,21.405219123170525,16.405219123170525
9.5,18.76628552836828,13.766285528368277
10.0,16.737946999085466,11.737946999085466
