,Acute Phase Dopamine Levels,Chronic Phase Dopamine Levels
0.0,1000,505
0.5,770.9343213277984,389.3102632968679
1.1,594.8697387622194,300.38875695061586
1.6,459.54288659615764,232.04186191725134
2.1,355.52789022200676,179.50903546566
2.6,275.5798289352614,139.1312267349805
3.2,214.13010796889483,108.09601412570446
3.7,166.89859108068808,84.24171266701418
4.2,130.59547769825372,65.90680691830995
4.7,102.6921595732549,51.81422200669439
5.3,81.24509650230576,40.98237197086149
5.8,64.76044359082378,32.65678969233524
6.3,52.09000098928552,26.25757625721491
6.8,42.35123872471549,21.33900945692702
7.4,34.86582614455048,17.558498052803273
7.9,29.112384385412675,14.652719386572057
8.4,24.690170950777784,12.419278257968578
8.9,21.291166931938818,10.702609561585263
9.5,18.678622673084593,9.38314276418414
10.0,16.670567529094612,8.368973499542733
